RT_CODE,RT_MOLECULE,RT_QUANTITY
飞流直下三千尺,O2,1
飞流直下三千尺,H2,2
飞流直下三千尺,₼,
疑是银河上九天,H2O,2
疑是银河上九天,₪,
茫茫只见双氧水,H2O2,2
茫茫只见双氧水,@,
氧气放电是臭氧,O2,3
氧气放电是臭氧,₪,
臭氧光照是氧气,O3,2
臭氧光照是氧气,¤,
亚氯酸钠二一二,NaOH,2
亚氯酸钠二一二,H2O2,1
亚氯酸钠二一二,ClO2,2
次氯酸钠四三二,NaOH,2
次氯酸钠四三二,H2O2,3
次氯酸钠四三二,ClO2,2
氯化钠是六五二,NaOH,2
氯化钠是六五二,H2O2,5
氯化钠是六五二,ClO2,2
叶剪玻璃芯糁碳,SiO2,1
叶剪玻璃芯糁碳,C,2
叶剪玻璃芯糁碳,¥,
森寒绿气透青霞,HCl,4
森寒绿气透青霞,O2,1
森寒绿气透青霞,₳,
日照香炉生紫烟,KMnO4,2
日照香炉生紫烟,₳,
暗堆冰炭在深衷,C,2
暗堆冰炭在深衷,O2,1
暗堆冰炭在深衷,₼,
洪炉炽炭燎一毛,C,1
洪炉炽炭燎一毛,O2,1
洪炉炽炭燎一毛,₼,
浅雪初成玉石灰,CaO,1
浅雪初成玉石灰,CO2,1
次氯酸盐碳酸氢,NaClO,1
次氯酸盐碳酸氢,CO2,1
次氯酸盐碳酸氢,H2O,1
三氯六碱氯酸钠,Cl2,3
三氯六碱氯酸钠,NaOH,6
一氯两碱次氯盐,Cl2,1
一氯两碱次氯盐,NaOH,2
小苏打生小气泡,NaHCO3,1
小苏打生小气泡,HCl,1
三氧化二铁生锈,Fe,4
三氧化二铁生锈,O2,3
四氧化三铁点燃,Fe,3
四氧化三铁点燃,O2,2
四氧化三铁点燃,₼,
铁与高温水蒸汽,Fe,3
铁与高温水蒸汽,H2O,4
铁与高温水蒸汽,¥,
碳酸钠碳酸氢钠,Na2CO3,1
碳酸钠碳酸氢钠,H2O,1
碳酸钠碳酸氢钠,CO2,1
